,seed,actions
0,0,"[2, 2, 0, 2, 3, 1, 2]"
1,1,"[1, 1, 3, 1, 3, 1, 2, 3, 2, 1, 2, 2, 0, 3, 2, 3, 1, 3, 3, 0, 0, 2, 0, 2, 1, 3, 3, 1, 1, 2, 0]"
2,2,"[1, 1, 3, 1, 1, 1, 2, 2, 0, 3]"
3,3,[]
4,4,"[2, 3, 0, 3, 0, 2, 2, 1, 3, 1, 1, 2, 3, 0, 0, 2, 1, 3, 1, 1, 2, 0, 2, 3, 3, 0, 0, 2, 1, 3, 1, 1, 2, 2, 0, 3, 2, 3, 1, 3, 0, 0, 2, 0, 3]"
5,5,"[1, 3, 2, 3, 1, 3, 3, 1, 1, 2, 1, 2, 2, 0, 3, 2, 3, 0, 0, 0, 3, 2, 3, 1, 3, 1, 1, 2, 3, 2, 1, 2, 2, 0, 0, 3, 0, 3, 0, 2, 2, 0, 3, 3, 3, 1, 2, 3, 0, 2, 2, 2, 1, 3, 1, 1, 2, 1, 1, 3, 0, 3, 3, 0, 0, 2, 2, 1, 2, 3, 0, 3, 3, 1, 1, 2, 1, 2, 0, 3, 3, 0, 0, 2, 2, 0, 3, 0, 3, 1, 2, 3, 0, 2, 2, 2, 1, 3, 1, 1, 2, 3, 0, 3, 0, 3, 1, 2, 3, 0, 2, 2, 1, 1, 2, 1, 1, 3, 0, 3, 3, 0, 1, 2, 2, 0, 2, 3, 1, 3, 3, 0, 0, 2, 0, 2, 1, 3, 3, 1, 1, 2, 2, 0, 0, 3, 0, 0, 3, 1, 2, 3, 0, 2, 2, 2, 1, 3, 2, 3, 0, 3, 3, 1, 1, 0, 2, 3, 2, 1, 2, 1, 2, 1, 3, 3, 3, 0, 1, 2, 2, 2, 0, 3, 0, 3, 0, 3, 1, 2, 3, 0, 2, 0, 2, 2, 1, 3, 2, 3, 1, 1, 2, 1, 3, 3, 3, 0, 1, 2, 2, 2, 0, 3, 0, 0, 2, 0, 3, 3, 3, 1, 2, 3, 2, 1, 2, 1, 2, 1, 3, 3, 3, 0, 0, 2, 0, 0, 2, 2, 1, 3, 2, 3, 0, 3, 3, 1, 0, 2, 1, 3, 1, 0, 2, 2, 1, 1, 2, 1, 3, 3, 3, 0, 0]"
6,6,"[3, 3, 0, 3, 2, 1, 3, 3]"
7,7,[]
8,8,"[2, 3, 3]"
9,9,"[3, 2, 1, 1, 1, 2, 2, 0, 0, 3, 2, 1, 1, 3, 3, 0, 2, 3, 2, 0, 2, 0, 0, 3, 3, 1, 1, 2, 1, 1, 2, 0, 3, 2, 1, 3, 3, 0, 2, 2, 0, 3, 2, 1, 3, 3, 0, 2, 2, 0, 1, 3, 3, 0, 3, 2, 1, 2, 2, 0, 0, 3, 0, 3, 1, 1, 1, 2, 3, 0, 0, 2, 2, 1, 1, 1, 3, 1, 3, 0, 0, 0, 0, 2, 0, 3]"
10,10,"[2, 3, 0, 0, 0, 2, 3, 2, 1, 3, 1, 1, 2, 0, 3, 0, 0, 2, 0, 2, 2, 1, 3, 2, 3, 0, 3, 3, 1, 2, 1, 3, 2, 0, 3, 0, 2, 2, 2, 1, 3, 2, 3, 0, 3, 3, 1, 1, 2, 0, 3, 2, 1, 3, 1, 1, 2, 0, 3, 0, 0, 0, 2, 1, 1, 3, 2, 0, 2, 2, 0, 3, 2, 3, 1, 3, 3, 0, 2, 3, 2, 1, 3, 1, 1, 1, 2, 0, 3, 0, 0, 2, 2, 2, 0, 3, 2, 3, 1, 3, 3, 1, 1, 2, 0, 3, 0, 0, 2, 3, 1, 2, 0, 2, 2, 1, 3, 2, 2, 2, 0, 3, 2, 3, 1, 3, 3, 3, 2, 2, 2, 0, 3, 2, 3, 1, 3, 3, 0, 3, 1, 2, 2, 2, 0, 3, 2, 3, 1, 3, 3, 1, 2, 3, 0, 0, 2, 3, 2, 1, 3, 1, 2, 1, 1, 3, 0, 2, 0, 0, 0, 2]"
11,11,"[3, 0, 3, 0, 0, 2, 2, 1, 0, 3, 3, 1, 1, 2, 0]"
12,12,"[3, 1, 2, 3, 0, 3, 3, 1, 3, 2, 3, 0, 2, 2, 2, 2, 1, 1, 3, 2, 3, 0, 2, 0, 3, 3, 3, 3, 3, 1, 2, 3, 0, 2, 2, 2, 2, 2, 1, 3, 1, 3, 2, 2, 0, 3, 0, 3, 3, 3, 3, 1, 1]"
13,13,[]
14,14,[]
15,15,"[1, 3, 3, 0, 2, 3, 1, 3, 3]"
16,16,[]
17,17,"[3, 2, 1, 3, 0, 3, 2, 3, 0, 2, 2, 1, 1, 3, 1, 3, 0, 0, 0, 0]"
18,18,"[2, 3, 0, 0, 2, 2, 0, 3, 3, 0, 2, 2, 2, 2, 1, 1, 3, 2, 3, 0, 3, 3, 3, 1, 1, 1, 2, 0, 3, 0, 0, 2, 1, 3, 2, 0, 3, 0, 2, 2, 2, 2, 1, 3, 1, 3, 2, 3, 0, 3, 3, 1, 2, 2, 3, 3, 1, 1, 2, 0, 3, 0, 0, 2, 2, 2, 2, 1, 3, 2, 3, 0, 3, 3, 3, 1, 1, 2, 0, 3, 0, 0, 2, 2, 2, 2, 1, 3, 1, 3, 0, 3, 1, 3, 1, 1, 2, 0, 3, 0, 2, 3, 2, 0, 2, 2, 2, 0, 3, 3, 3, 3, 1, 2, 3, 0, 2, 2, 2, 2, 1, 3, 1, 3, 2, 3, 0, 3, 3, 1, 2, 3, 2, 1, 1, 3, 0, 2, 0, 2, 3, 2, 0, 3, 3, 1, 2, 3, 0, 2, 2, 2, 2, 1, 3, 2, 3, 0, 3, 3, 1, 2, 3, 1, 1, 3, 0, 2, 0, 2, 0, 3, 3, 0, 2, 2, 2, 2, 1, 1, 3, 2, 3, 0, 3, 3, 1, 1, 3, 0, 2, 2, 3, 2, 0, 3, 0, 3, 1, 2, 3, 0, 2, 2, 2, 2, 1, 3, 3, 1, 2, 3, 3, 0, 3, 1]"
19,19,"[3, 1, 3, 2, 2, 0, 0, 0, 3, 1, 3, 2, 2, 1, 1, 1, 3, 2, 3, 0, 2, 0, 0, 3, 1, 1]"
